group_column,age,salary,department
Jasmineside,21,57075.07,Sales
Port Robert,24,79362.89,Marketing
North Bethbury,18,117113.84,Sales
West Morganborough,21,53527.7,Marketing
Lake Shannonshire,26,78039.28,Marketing
North Christianchester,58,58030.04,Engineering
East Kimberly,33,71802.6,Finance
Beckyhaven,33,85078.0,Sales
Kellyberg,27,93893.81,Marketing
East Kristi,20,67819.45,Sales
Mitchellview,24,89707.68,Sales
Briannaborough,23,58133.46,Marketing
Lake Stephanie,57,76725.18,Sales
Earlstad,27,46539.55,Engineering
Wagnerview,36,85011.09,Sales
North Erinfort,54,69481.31,HR
Williamsview,18,81797.05,Marketing
Damonton,44,76600.9,Engineering
Amandaborough,24,89231.24,Sales
Lake Abigailport,40,69865.25,Finance
Port Kimberlybury,55,66660.65,Engineering
Lake Kellyshire,23,80195.41,Marketing
New Danielchester,41,65901.53,Marketing
North Erinfort,53,65917.47,Sales
Krystalchester,63,68076.3,Engineering
Greenfort,38,63139.02,Marketing
Lake Danaborough,40,90351.63,Marketing
Thomasport,47,57981.55,Marketing
Thomasstad,47,67332.09,Sales
Lake Earl,38,83129.19,Marketing
Davidstad,23,48346.21,Finance
Johnsonfort,28,61229.98,Finance
Johnsonfort,20,49980.22,Marketing
South Hollybury,47,92963.72,Marketing
Jonesfort,29,85283.27,Engineering
Lisafurt,19,63459.61,Sales
West Patricia,49,83529.18,Marketing
Savannahbury,33,69103.87,Marketing
North Donna,31,63257.82,Sales
East Bruceview,41,66422.05,Marketing
Amybury,37,78570.1,Sales
North Alecland,61,76303.72,Marketing
Smithview,32,94842.8,Sales
Lorettachester,28,62311.21,Engineering
Alanside,22,114727.58,Sales
South Amyside,53,63634.1,Sales
South Sydney,35,81179.42,HR
Davishaven,54,86781.02,Engineering
Hartmantown,59,79580.72,Marketing
Burtonfort,45,100229.48,Sales
Lake Lisaland,24,83905.24,Marketing
Wyattton,39,73322.85,Marketing
Bruceshire,22,71138.82,Engineering
Lorettachester,35,57544.69,HR
Evansborough,27,70933.28,Sales
North Aliciaville,29,84690.39,Marketing
Watsonview,48,57430.05,Sales
Port John,21,91010.33,Marketing
West Michealfurt,25,72114.25,Marketing
West Julia,27,75112.59,Sales
Brendachester,47,61792.41,Sales
Woodland,24,65700.9,Engineering
Ralphborough,21,98273.38,HR
Katherineview,23,77013.91,Engineering
Patrickborough,51,76502.52,Marketing
Michaelmouth,26,74299.09,Engineering
Davidsonfurt,19,95310.45,Marketing
Hickshaven,18,54735.19,HR
Jenniferview,26,95271.51,Sales
West Chad,28,69145.7,Marketing
East Rachel,60,87411.82,Sales
East Ana,18,87739.99,Marketing
East Wendy,32,95479.4,Marketing
Grahambury,21,53515.03,Marketing
Khanland,54,63692.0,Marketing
Rickyville,25,75983.33,Sales
South Susan,29,96459.04,Engineering
South Jimmy,44,61857.95,Marketing
Staffordfort,47,62388.6,Marketing
Jacquelinehaven,28,66321.74,Engineering
New Danielhaven,18,72932.75,Marketing
East Michael,32,76378.4,Engineering
North Carrieview,34,78040.43,Marketing
New Michael,19,81060.27,Engineering
Jeanneport,24,64064.61,Marketing
Colemanland,18,66389.84,HR
Williamton,38,65703.33,Sales
Harringtonshire,59,63716.58,Finance
Lake Shannonshire,63,83268.44,Marketing
East Ana,57,64341.59,Marketing
Nicholasstad,27,87827.5,Engineering
Mckeeton,33,59364.89,Engineering
Alanshire,54,57205.35,Marketing
East Kristen,63,85720.96,Marketing
Lucasburgh,54,62941.21,Sales
East Katherine,26,80839.07,Sales
Lucasmouth,48,83736.53,Finance
Johnsonview,44,78935.54,Sales
Mooreview,21,76428.91,Engineering
Sandrashire,28,76421.58,Marketing
Lorettachester,22,45300.24,Sales
Barrettside,22,38734.58,Sales
Lake Davidburgh,25,86529.48,Engineering
Morganland,26,82963.38,Sales
East Heather,31,96708.57,Marketing
Michaelmouth,47,34798.35,Marketing
South Harry,46,67281.39,Marketing
New Danielhaven,38,100572.93,Marketing
Lake Shannonshire,31,37896.42,HR
New Jameston,29,92061.37,Engineering
East John,65,100153.22,Marketing
North Sarahshire,26,68151.41,Sales
Sanchezburgh,31,44817.24,Finance
South Sean,43,55600.98,Marketing
Port Sarahtown,48,105460.03,Finance
South Denisechester,33,74782.42,Engineering
North Barbaraview,23,80920.57,Sales
Phillipland,64,72889.13,Marketing
East Keith,23,75627.98,Marketing
North Travis,37,96143.89,Finance
Jonesstad,55,87049.85,Engineering
Floresmouth,33,103449.27,Marketing
East Rhondashire,30,63800.51,Sales
Margaretview,42,83896.5,Sales
New Rachel,34,78088.67,Sales
Hernandezview,46,88028.17,Engineering
Lake Paul,19,55073.68,Marketing
Rodriguezberg,48,41696.46,Marketing
Davishaven,24,68694.77,Finance
Jasonmouth,28,81928.45,Finance
New Danielhaven,33,67430.14,Sales
Jeffreymouth,31,72242.26,Engineering
East Matthewfort,21,64912.89,Engineering
Alyssachester,24,93288.12,Marketing
Barrettside,41,78617.77,Marketing
Jonesborough,21,57565.01,Marketing
Savannahbury,39,57758.15,Marketing
Anthonyfurt,48,73051.47,Engineering
East Stacey,20,75650.66,Engineering
North Meghan,24,69292.41,HR
Lake Jessicahaven,61,75385.1,Marketing
Reidhaven,52,60771.7,Sales
Edwinburgh,46,69470.15,HR
South Glennborough,60,101473.59,Marketing
West Timothyburgh,24,56770.64,Marketing
Leebury,38,91470.57,Marketing
Port Paulastad,18,58063.83,Marketing
Jenniferview,43,43872.44,Engineering
West Gina,22,84243.89,Marketing
Payneborough,41,72164.15,Marketing
Flynnshire,64,72489.19,Marketing
Lake Sharon,41,76662.83,Engineering
Joton,64,56653.47,Engineering
Stokesbury,53,83229.37,Marketing
Port Tylertown,60,91657.27,Engineering
Cherryshire,21,66262.03,Sales
Port Darleneborough,60,52670.47,Finance
North Bruce,20,70263.11,Marketing
Garciatown,41,66250.41,Marketing
Amybury,29,86974.32,Marketing
Johnnyland,63,71082.08,Sales
Davidport,22,52214.09,Engineering
Davidstad,55,86995.58,Engineering
West Timothy,44,70722.05,Engineering
Hunterberg,26,104357.22,Sales
New Arielchester,22,98328.11,Engineering
Lake Andrewshire,46,81583.36,Marketing
Angelahaven,63,84291.09,Marketing
Montgomeryport,40,90764.47,Sales
Martinville,31,74180.75,Sales
Damonton,33,58043.82,Finance
Lake Jenniferborough,42,86824.52,Engineering
Morrishaven,26,78698.57,Marketing
Thomasborough,49,62004.1,Engineering
North Bethbury,43,61170.08,Marketing
Montgomeryshire,40,95054.35,HR
Jamesstad,21,79110.87,Marketing
Campbellhaven,25,83762.7,Marketing
New Michael,55,51150.23,Engineering
Kathryntown,37,78655.68,Engineering
South Natashafurt,53,76689.89,Marketing
Farrellburgh,28,73047.73,Marketing
Schmidttown,31,50761.94,Finance
Butlerstad,28,77002.36,Engineering
West Nicholasside,24,109627.1,Marketing
Timothybury,20,75054.54,Sales
Port Emilyhaven,58,71333.08,Marketing
Sarahland,28,90688.11,Sales
New Michael,31,88713.21,Marketing
Barbarahaven,55,96248.87,Sales
Staffordfort,33,74680.17,Engineering
Johnton,40,100216.92,Sales
West Gina,22,86371.22,Sales
Ericberg,29,76582.28,Engineering
Kimberlychester,34,86605.16,Engineering
Camposside,26,89816.68,Engineering
Michaelmouth,18,71060.65,Sales
Latoyastad,55,79607.55,Marketing
Briannaborough,34,69900.5,Sales
East Ryanborough,27,62311.86,Engineering
East Tiffany,51,71550.47,Marketing
Amandaborough,46,51222.11,Marketing
East Marymouth,35,71939.37,Sales
Port Jenniferbury,21,100802.61,Engineering
Hallshire,32,69949.59,Finance
North Scottborough,18,67513.8,Marketing
East Josephville,43,61237.87,Marketing
Lake Kaitlinport,58,96107.7,Sales
Sandrashire,35,68522.9,Marketing
Port John,25,74763.02,Sales
Weaverborough,53,79843.06,Engineering
Hernandezland,20,68664.03,Marketing
Briannaborough,52,67329.1,Engineering
North Shannontown,61,37459.3,Marketing
Lake Stephanie,45,63256.44,Sales
North Nicholasland,63,53027.53,Marketing
East Tammyshire,19,69973.19,Marketing
South David,49,81985.28,Marketing
Michaelmouth,63,84584.33,Sales
