,dataset,experiment,predicate,parsed_predicate,predicate_line,table_size,real_size
flights_1,flights_1000000.csv,flights,Origin = Origin,t1.Origin = t2.Origin,1,999999,13525562981
flights_2,flights_1000000.csv,flights,Origin = Origin AND Destination = Destination,t1.Origin = t2.Origin AND t1.Destination = t2.Destination,2,999999,1316309219
flights_100k_1,flights_100000.csv,flights_100k,Origin = Origin,t1.Origin = t2.Origin,1,100000,134673200
flights_100k_2,flights_100000.csv,flights_100k,Origin = Origin AND Destination = Destination,t1.Origin = t2.Origin AND t1.Destination = t2.Destination,2,100000,13260402
flights_10k_1,flights_10000.csv,flights_10k,Origin = Origin,t1.Origin = t2.Origin,1,10000,1337610
flights_10k_2,flights_10000.csv,flights_10k,Origin = Origin AND Destination = Destination,t1.Origin = t2.Origin AND t1.Destination = t2.Destination,2,10000,140538
flights_500k_1,flights_500000.csv,flights_500k,Origin = Origin,t1.Origin = t2.Origin,1,500000,3377643328
flights_500k_2,flights_500000.csv,flights_500k,Origin = Origin AND Destination = Destination,t1.Origin = t2.Origin AND t1.Destination = t2.Destination,2,500000,329246758
gen0_1,gen0.csv,gen0,age = age,t1.age = t2.age,1,3999996,398454589896
gen0_2,gen0.csv,gen0,age = age AND department = department,t1.age = t2.age AND t1.department = t2.department,2,3999996,114534418114
imdb_title_1,titlekind_1000000.csv,imdb_title,title = title AND prodyear = prodyear,t1.title = t2.title AND t1.prodyear = t2.prodyear,1,999999,18773295
imdb_title_2,titlekind_1000000.csv,imdb_title,prodyear = prodyear,t1.prodyear = t2.prodyear,2,999999,39212490933
imdb_title_100k_1,titlekind_100000.csv,imdb_title_100k,title = title AND prodyear = prodyear,t1.title = t2.title AND t1.prodyear = t2.prodyear,1,100000,282428
imdb_title_100k_2,titlekind_100000.csv,imdb_title_100k,prodyear = prodyear,t1.prodyear = t2.prodyear,2,100000,396026764
imdb_title_10k_1,titlekind_10000.csv,imdb_title_10k,title = title AND prodyear = prodyear,t1.title = t2.title AND t1.prodyear = t2.prodyear,1,10000,11950
imdb_title_10k_2,titlekind_10000.csv,imdb_title_10k,prodyear = prodyear,t1.prodyear = t2.prodyear,2,10000,4031098
imdb_title_500k_1,titlekind_500000.csv,imdb_title_500k,title = title AND prodyear = prodyear,t1.title = t2.title AND t1.prodyear = t2.prodyear,1,500000,4964537
imdb_title_500k_2,titlekind_500000.csv,imdb_title_500k,prodyear = prodyear,t1.prodyear = t2.prodyear,2,500000,9812663438
tax_1,tax_1000000.csv,tax,AreaCode = AreaCode AND Phone = Phone,t1.AreaCode = t2.AreaCode AND t1.Phone = t2.Phone,1,999999,999999
tax_2,tax_1000000.csv,tax,State = State AND HasChild = HasChild,t1.State = t2.State AND t1.HasChild = t2.HasChild,2,999999,9616497253
tax_100k_1,tax_100000.csv,tax_100k,AreaCode = AreaCode AND Phone = Phone,t1.AreaCode = t2.AreaCode AND t1.Phone = t2.Phone,1,100000,100000
tax_100k_2,tax_100000.csv,tax_100k,State = State AND HasChild = HasChild,t1.State = t2.State AND t1.HasChild = t2.HasChild,2,100000,96244618
tax_10k_1,tax_10000.csv,tax_10k,AreaCode = AreaCode AND Phone = Phone,t1.AreaCode = t2.AreaCode AND t1.Phone = t2.Phone,1,10000,10000
tax_10k_2,tax_10000.csv,tax_10k,State = State AND HasChild = HasChild,t1.State = t2.State AND t1.HasChild = t2.HasChild,2,10000,970784
tax_500k_1,tax_500000.csv,tax_500k,AreaCode = AreaCode AND Phone = Phone,t1.AreaCode = t2.AreaCode AND t1.Phone = t2.Phone,1,500000,500000
tax_500k_2,tax_500000.csv,tax_500k,State = State AND HasChild = HasChild,t1.State = t2.State AND t1.HasChild = t2.HasChild,2,500000,2404381172
