dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
ncvoter_r8060060_c19,8060060,19,0.3,0,0,55.8714,33.6443,22.9482,0,3.1024,22.227,0.465532,19.8533,1023,401,103870,103563,50,339,288307338,96,3876144
ncvoter_r8060060_c19,8060060,19,0.3,0,0,52.5364,33.4126,22.7152,0,3.10979,19.1238,0.465956,16.9572,859,384,103804,103563,50,340,255555107,96,3876012
ncvoter_r8060060_c19,8060060,19,0.3,0,0,46.939,33.133,22.5351,0,3.06981,13.806,0.462855,12.0475,733,344,103807,103563,50,318,162316344,96,3876012
ncvoter_r8060060_c19,8060060,19,0.3,0,0,56.6553,33.3403,22.678,0,3.09161,23.315,0.466132,20.3428,993,384,103818,103563,50,334,320475831,96,3876052
ncvoter_r8060060_c19,8060060,19,0.3,0,0,53.0117,33.3958,22.7026,0,3.09493,19.6159,0.470642,16.6254,782,361,103835,103563,50,315,301966834,96,3876024
ncvoter_r8060060_c19,8060060,19,0.3,0,0,48.2351,33.5145,22.7956,0,3.11993,14.7207,0.473101,12.321,614,320,103901,103563,50,299,183435678,96,3876200
ncvoter_r8060060_c19,8060060,19,0.3,0,0,57.207,33.0035,22.446,0,3.05749,24.2035,0.460985,20.7258,1007,398,103857,103563,50,349,349493938,96,3875912
ncvoter_r8060060_c19,8060060,19,0.3,0,0,58.0323,33.034,22.4486,0,3.05332,24.9983,0.453188,21.2264,926,366,103893,103563,50,326,381068261,96,3875852
ncvoter_r8060060_c19,8060060,19,0.3,0,0,58.0031,33.0253,22.4549,0,3.06327,24.9778,0.464518,21.8145,918,397,103880,103563,50,342,322671876,96,3875812
ncvoter_r8060060_c19,8060060,19,0.3,0,0,57.4678,33.041,22.4648,0,3.06152,24.4267,0.455622,20.8735,948,353,103804,103563,50,315,333438690,96,3875808
ncvoter_r8060060_c19,8060060,19,0.3,0,0,63.493,33.0355,22.4795,0,3.06022,30.4575,0.455711,25.9969,1080,363,103857,103563,50,328,410251305,96,3876008
ncvoter_r8060060_c19,8060060,19,0.3,0,0,57.4655,33.3842,22.6944,0,3.10628,24.0813,0.456758,21.1468,1006,385,103816,103563,50,343,309154401,96,3875812
ncvoter_r8060060_c19,8060060,19,0.3,0,0,54.1664,33.3669,22.6807,0,3.09778,20.7995,0.463781,18.5067,1104,410,103785,103563,50,341,264027871,96,3876008
ncvoter_r8060060_c19,8060060,19,0.3,0,0,57.8504,33.3699,22.7459,0,3.07759,24.4805,0.471352,21.3649,1050,373,103847,103563,50,336,337480441,96,3876236
ncvoter_r8060060_c19,8060060,19,0.3,0,0,55.5646,33.0975,22.5026,0,3.07223,22.4671,0.458294,19.2136,916,360,103816,103563,50,327,337293855,96,3876180
