dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
CE4HI01_r1678782_c65,1678782,65,0.3,1,1,7.23438,6.07026,5.0062,0,0.477968,1.16412,0.315296,0.724558,283,85,229314,229166,2,78,32320307,25,1513596
CE4HI01_r1678782_c65,1678782,65,0.3,1,1,6.67536,5.8081,4.74221,0,0.477848,0.867265,0.318458,0.458013,261,84,229294,229166,2,71,18940164,25,1513732
CE4HI01_r1678782_c65,1678782,65,0.3,1,1,6.88054,5.79985,4.7375,0,0.478824,1.08069,0.316813,0.647277,357,85,229332,229166,2,73,29459262,25,1513720
CE4HI01_r1678782_c65,1678782,65,0.3,1,1,6.8918,5.99028,4.90991,0,0.489734,0.901524,0.31706,0.493402,142,63,229291,229166,2,58,23293872,25,1513816
CE4HI01_r1678782_c65,1678782,65,0.3,1,1,6.60532,5.80106,4.728,0,0.48565,0.804255,0.318715,0.406277,181,74,229295,229166,2,63,16915827,25,1513424
Hospital_r114920_c15,114920,15,0.3,1,1,0.139048,0.117916,0.108237,0,0.00752575,0.0211314,0.00202624,0.017144,27,37,4728,4651,4,34,1542262,12,47864
Hospital_r114920_c15,114920,15,0.3,1,1,0.116257,0.0970736,0.0874825,0,0.00749469,0.0191831,0.00200036,0.015597,38,38,4718,4651,4,33,1583283,12,47892
Hospital_r114920_c15,114920,15,0.3,1,1,0.116284,0.0967195,0.0870844,0,0.00750969,0.019564,0.002014,0.0159874,46,39,4712,4651,4,33,1620574,12,47816
Hospital_r114920_c15,114920,15,0.3,1,1,0.113037,0.0958796,0.0862916,0,0.00748336,0.0171571,0.00198736,0.0136939,30,32,4708,4651,4,28,1395610,12,47748
Hospital_r114920_c15,114920,15,0.3,1,1,0.112915,0.0961248,0.0864994,0,0.00751233,0.0167903,0.00200221,0.0131786,31,36,4708,4651,4,30,1275853,12,47932
ILOA_r20000000_c48,20000000,48,0.3,1,1,49.2083,47.6889,37.7454,0,4.27166,1.51937,1.40796,3.6e-08,0,1,885601,885601,1,0,0,1,13207768
ILOA_r20000000_c48,20000000,48,0.3,1,1,48.2597,46.8276,36.8766,0,4.2775,1.43213,1.32016,3.5e-08,0,1,885601,885601,1,0,0,1,13207844
ILOA_r20000000_c48,20000000,48,0.3,1,1,48.2443,46.8101,36.8652,0,4.28095,1.43418,1.32233,3.5e-08,0,1,885601,885601,1,0,0,1,13207884
ILOA_r20000000_c48,20000000,48,0.3,1,1,48.3966,46.9521,36.9147,0,4.30342,1.44447,1.32934,3.4e-08,0,1,885601,885601,1,0,0,1,13207848
ILOA_r20000000_c48,20000000,48,0.3,1,1,48.1698,46.74,36.7657,0,4.28396,1.42973,1.31774,3.4e-08,0,1,885601,885601,1,0,0,1,13207668
PDBX_POLY_SEQ_SCHEME_r17305799_c13,17305799,13,0.3,1,1,25.4331,24.152,16.7565,0,2.44718,1.28107,0.0750623,0.978749,7,11,93545,93335,3,8,116477463,5,4393656
PDBX_POLY_SEQ_SCHEME_r17305799_c13,17305799,13,0.3,1,1,24.4023,23.8279,16.4473,0,2.43928,0.574327,0.0464058,0.462083,4,9,93370,93335,3,7,121140583,5,4393744
PDBX_POLY_SEQ_SCHEME_r17305799_c13,17305799,13,0.3,1,1,24.4036,23.8251,16.4336,0,2.44136,0.578425,0.0473911,0.462676,4,9,93370,93335,3,7,121140583,5,4393728
PDBX_POLY_SEQ_SCHEME_r17305799_c13,17305799,13,0.3,1,1,24.3485,23.7743,16.369,0,2.43606,0.574167,0.0465635,0.461694,8,11,93387,93335,3,8,121155442,5,4393672
PDBX_POLY_SEQ_SCHEME_r17305799_c13,17305799,13,0.3,1,1,24.3788,23.8033,16.4059,0,2.4337,0.575568,0.0465134,0.461702,7,10,93370,93335,3,7,121140583,5,4393836
SG_BIOENTRY_DBXREF_ASSOC_r1854789_c3,1854789,3,0.3,1,1,0.817308,0.770589,0.488248,0,0.0877022,0.0467184,0.00258762,0.0262447,1,3,2528,2528,2,2,3704756,2,192760
SG_BIOENTRY_DBXREF_ASSOC_r1854789_c3,1854789,3,0.3,1,1,0.798658,0.751633,0.467823,0,0.0881895,0.0470245,0.00271546,0.0262598,1,3,2528,2528,2,2,3704756,2,192704
SG_BIOENTRY_DBXREF_ASSOC_r1854789_c3,1854789,3,0.3,1,1,0.792941,0.746089,0.461125,0,0.08774,0.0468524,0.00253482,0.0262971,1,3,2528,2528,2,2,3704756,2,192784
SG_BIOENTRY_DBXREF_ASSOC_r1854789_c3,1854789,3,0.3,1,1,0.794387,0.747793,0.464394,0,0.0880032,0.0465934,0.00249442,0.0262114,1,3,2528,2528,2,2,3704756,2,192736
SG_BIOENTRY_DBXREF_ASSOC_r1854789_c3,1854789,3,0.3,1,1,0.791587,0.744226,0.461587,0,0.0879825,0.0473612,0.00247184,0.0269017,1,3,2528,2528,2,2,3704756,2,192680
SG_BIOENTRY_QUALIFIER_ASSOC_r1821546_c4,1821546,4,0.3,1,1,0.747886,0.646087,0.479934,0,0.0708801,0.101799,0.0037816,0.0667141,4,5,7741,7738,3,4,5057828,2,200892
SG_BIOENTRY_QUALIFIER_ASSOC_r1821546_c4,1821546,4,0.3,1,1,0.715996,0.613401,0.445252,0,0.0735638,0.102594,0.00390732,0.0672895,4,5,7741,7738,3,4,5057828,2,200860
SG_BIOENTRY_QUALIFIER_ASSOC_r1821546_c4,1821546,4,0.3,1,1,0.732412,0.62037,0.445244,0,0.0744471,0.112042,0.00382325,0.0749748,4,5,7741,7738,3,4,5057828,2,200952
SG_BIOENTRY_QUALIFIER_ASSOC_r1821546_c4,1821546,4,0.3,1,1,0.720397,0.616895,0.450481,0,0.0710354,0.103501,0.00375889,0.068317,4,5,7741,7738,3,4,5057828,2,200588
SG_BIOENTRY_QUALIFIER_ASSOC_r1821546_c4,1821546,4,0.3,1,1,0.719788,0.617841,0.444832,0,0.0748545,0.101947,0.00375646,0.0672146,4,5,7741,7738,3,4,5057828,2,200888
SG_BIOENTRY_REF_ASSOC_r358337_c5,358337,5,0.3,1,1,0.249722,0.238732,0.147601,0,0.0297394,0.0109898,0.00210866,0.00460581,1,3,4859,4857,2,2,492056,1,66116
SG_BIOENTRY_REF_ASSOC_r358337_c5,358337,5,0.3,1,1,0.249985,0.238053,0.142754,0,0.0321146,0.011932,0.00215298,0.00532602,1,3,4859,4857,2,2,492056,1,66484
SG_BIOENTRY_REF_ASSOC_r358337_c5,358337,5,0.3,1,1,0.252034,0.239715,0.143036,0,0.0320506,0.0123187,0.00215374,0.00552113,1,3,4859,4857,2,2,492056,1,66340
SG_BIOENTRY_REF_ASSOC_r358337_c5,358337,5,0.3,1,1,0.250579,0.238581,0.143428,0,0.0320668,0.0119981,0.00213688,0.00532846,1,3,4859,4857,2,2,492056,1,66404
SG_BIOENTRY_REF_ASSOC_r358337_c5,358337,5,0.3,1,1,0.250283,0.238352,0.143354,0,0.0320484,0.0119309,0.00213934,0.00532685,1,3,4859,4857,2,2,492056,1,66408
