dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
census_r196295_c42,196295,42,0,1,1,0.551344,0.480064,0.437712,0,0.0314924,0.0712801,0.00155572,0.0578632,1152,396,110,42,29,344,4244237,80,159956
census_r196295_c42,196295,42,0,1,1,0.511977,0.422469,0.380585,0,0.0313368,0.0895079,0.00173087,0.0740744,1623,439,110,42,29,369,6451002,80,159804
census_r196295_c42,196295,42,0,1,1,0.556229,0.424731,0.382313,0,0.031774,0.131498,0.00269841,0.108966,1359,459,128,42,29,375,7776165,80,159952
census_r196295_c42,196295,42,0,1,1,0.49104,0.422621,0.380542,0,0.0314219,0.0684189,0.00136521,0.055821,1226,369,105,42,29,331,3184651,80,159696
census_r196295_c42,196295,42,0,1,1,0.546733,0.425477,0.381688,0,0.0327628,0.121257,0.00251515,0.0995791,1290,434,119,42,29,355,7893616,80,159692
census_r196295_c42,196295,42,0.1,1,1,0.464449,0.420008,0.378314,0,0.0313334,0.0444412,0.00137136,0.0353157,1045,347,481,410,29,292,1975795,80,159916
census_r196295_c42,196295,42,0.1,1,1,0.475901,0.425363,0.383919,0,0.0311832,0.0505384,0.00151245,0.0407289,1079,318,474,410,29,288,2520515,80,159696
census_r196295_c42,196295,42,0.1,1,1,0.499361,0.425273,0.381547,0,0.032922,0.0740877,0.00143833,0.0607785,1216,334,483,410,29,311,4404262,80,159916
census_r196295_c42,196295,42,0.1,1,1,0.468758,0.422921,0.380955,0,0.0314955,0.0458373,0.00151159,0.0367109,966,315,479,410,29,296,2235746,80,159876
census_r196295_c42,196295,42,0.1,1,1,0.477431,0.423472,0.382041,0,0.031411,0.0539592,0.00152815,0.0436166,893,333,490,410,29,288,2843663,80,159832
census_r196295_c42,196295,42,0.2,1,1,0.46807,0.420968,0.379488,0,0.0312918,0.0471014,0.00472927,0.0344,1218,329,4168,4070,29,310,1412820,80,159696
census_r196295_c42,196295,42,0.2,1,1,0.461072,0.423797,0.380441,0,0.0326747,0.0372751,0.0046077,0.0258269,1073,300,4141,4070,29,289,1055510,80,159952
