dataset,rows,cols,sample_exponent,copy_PLIs,tiebreaker_heuristic,t_total,t_total_prep,t_read_table,t_create_subtable,t_construct_clusters,t_total_enum_algo,t_sample_diff_sets,t_intersect_clusters,tree_complexity,tree_nodes,diff_sets,diff_sets_initial,diff_sets_final,intersections,intersection_cluster_size,ucc_count,memory
isolet_r7798_c618,7798,40,0.3,1,1,0.140521,0.0981114,0.0758173,0,0.00807648,0.0424087,0.0019334,0.0350286,863,10496,2739,911,614,10456,4307504,9499,32004
isolet_r7798_c618,7798,40,0.3,1,1,0.123341,0.0802096,0.0526034,0,0.0118963,0.0431317,0.00192936,0.0355731,862,10481,2706,911,614,10442,4230391,9499,32004
isolet_r7798_c618,7798,40,0.3,1,1,0.121396,0.0787013,0.0510515,0,0.0119014,0.0426941,0.00192802,0.0350848,888,10491,2700,911,614,10452,4215756,9499,32208
isolet_r7798_c618,7798,80,0.3,1,1,0.436637,0.214988,0.160944,0,0.0166521,0.221649,0.00790191,0.15987,6907,83691,9881,1827,4067,83384,18018121,77316,57072
isolet_r7798_c618,7798,80,0.3,1,1,0.429826,0.214118,0.160369,0,0.0166974,0.215708,0.00772479,0.155585,6974,83711,9939,1827,4067,83419,18003053,77316,56844
isolet_r7798_c618,7798,80,0.3,1,1,0.425844,0.210506,0.155576,0,0.0166468,0.215338,0.00775354,0.155034,6894,83714,9919,1827,4067,83439,18011118,77316,57264
isolet_r7798_c618,7798,120,0.3,1,1,1.2517,0.363466,0.278187,0,0.0252051,0.888232,0.0222736,0.410758,29020,288812,24403,2800,13821,287051,44729274,266584,81476
isolet_r7798_c618,7798,120,0.3,1,1,1.25083,0.365108,0.278903,0,0.025787,0.885717,0.0222453,0.410198,29481,288895,24407,2800,13821,287038,44689956,266584,81676
isolet_r7798_c618,7798,120,0.3,1,1,1.25323,0.374264,0.268423,0,0.0421323,0.878965,0.0221554,0.409653,29092,288707,24195,2800,13821,286915,44584772,266584,81796
isolet_r7798_c618,7798,160,0.3,1,1,3.56524,0.510495,0.393069,0,0.0340798,3.05475,0.053238,0.815089,71951,692882,43943,3692,28717,687429,83014560,643435,106704
isolet_r7798_c618,7798,160,0.3,1,1,3.5766,0.516195,0.393971,0,0.035707,3.06041,0.0534657,0.822341,73663,693039,43853,3692,28717,687398,83459979,643435,106912
isolet_r7798_c618,7798,160,0.3,1,1,3.55008,0.508065,0.387389,0,0.0342133,3.04201,0.0513772,0.816277,73161,692961,43812,3692,28717,687425,83242862,643435,106876
isolet_r7798_c618,7798,200,0.3,1,1,10.9441,0.67124,0.518729,0,0.0432989,10.2728,0.137963,1.52085,169187,1384701,74629,4630,54156,1370245,139653575,1282903,131840
isolet_r7798_c618,7798,200,0.3,1,1,10.946,0.666214,0.513186,0,0.0434072,10.2798,0.14,1.52797,168849,1384623,74275,4630,54156,1370189,139410544,1282903,132020
isolet_r7798_c618,7798,200,0.3,1,1,11.0486,0.667445,0.512278,0,0.0438031,10.3812,0.137608,1.51315,170136,1384717,74445,4630,54156,1370204,139729105,1282903,132112
isolet_r7798_c618,7798,240,0.3,1,1,54.2356,0.832567,0.649222,0,0.0512877,53.4031,0.436493,4.80393,519168,2860277,143176,5668,116529,2810235,324997090,2594776,150704
isolet_r7798_c618,7798,240,0.3,1,1,57.6535,0.801375,0.616286,0,0.0513529,56.8521,0.443563,4.92649,516629,2860737,143562,5668,116529,2810032,333075242,2594776,150756
isolet_r7798_c618,7798,240,0.3,1,1,53.9531,0.799382,0.619412,0,0.0506958,53.1537,0.432778,4.76625,515933,2860001,143499,5668,116529,2810356,320449258,2594776,150712
isolet_r7798_c618,7798,280,0.3,1,1,658.57,0.899376,0.710381,0,0.054302,657.671,1.78294,25.4348,3185509,10262956,360439,7094,326400,9859080,1217275629,8994730,168988
isolet_r7798_c618,7798,280,0.3,1,1,658.46,0.893017,0.705513,0,0.054263,657.567,1.80649,25.9868,3235062,10269624,360971,7094,326400,9859262,1254778513,8994730,168908
isolet_r7798_c618,7798,280,0.3,1,1,654.305,0.930321,0.701194,0,0.0881209,653.375,1.77447,25.5824,3238649,10267000,360799,7094,326400,9859357,1241012458,8994730,168760
isolet_r7798_c618,7798,320,0.3,1,1,900.007,1.03284,0.826227,0,0.0609864,898.975,2.33068,31.3937,3965987,12272946,403467,8229,370956,11748995,1452123608,10733044,185408
isolet_r7798_c618,7798,320,0.3,1,1,900.002,1.02339,0.8159,0,0.0612777,898.978,2.34346,31.4443,4012681,12346974,403565,8229,371296,11816885,1466209805,10797051,185496
isolet_r7798_c618,7798,320,0.3,1,1,900,1.02181,0.815126,0,0.0609331,898.979,2.34635,31.5825,3962674,12304032,403340,8229,370643,11778900,1462846812,10763692,185668
isolet_r7798_c618,7798,360,0.3,1,1,900,1.18991,0.916378,0,0.105399,898.81,2.61657,23.481,4364809,16517380,390062,11702,357575,16049726,974227594,14373380,198464
isolet_r7798_c618,7798,360,0.3,1,1,900,1.13189,0.905886,0,0.0663009,898.868,2.5938,23.6551,4641117,17007649,387679,11702,355381,16523230,992677485,14758276,198480
isolet_r7798_c618,7798,360,0.3,1,1,900,1.18456,0.913551,0,0.106174,898.816,2.57264,23.4719,4617471,17150861,388646,11702,356118,16668288,984267304,14888219,198352
isolet_r7798_c618,7798,400,0.3,1,1,900,1.25854,1.0136,0,0.0722864,898.742,2.5517,19.7018,4960386,25369447,348439,14439,316171,24690264,761896667,22642647,211300
isolet_r7798_c618,7798,400,0.3,1,1,900,1.24542,0.999091,0,0.07215,898.755,2.5351,20.012,4942855,24647215,346655,14439,314924,23954328,795427096,21923881,211456
isolet_r7798_c618,7798,400,0.3,1,1,900.002,1.29253,1.0035,0,0.114193,898.709,2.55176,20.2062,4985608,24918278,345676,14439,314162,24223421,804033299,22178554,211360
uniprot_r539166_c223,539166,20,0.3,1,1,4.28316,4.24226,2.41431,0,0.392886,0.0408985,0.00960965,0.0261559,37,29,14716,14635,4,18,3073524,5,538748
uniprot_r539166_c223,539166,20,0.3,1,1,4.27628,4.24983,2.42331,0,0.389734,0.0264462,0.00956578,0.0132673,17,18,14658,14635,4,13,1180519,5,538764
uniprot_r539166_c223,539166,20,0.3,1,1,4.28909,4.25082,2.42149,0,0.39006,0.0382675,0.00958465,0.0251277,34,27,14692,14635,4,15,3324383,5,538888
uniprot_r539166_c223,539166,20,0.3,1,1,4.25694,4.22523,2.39718,0,0.392738,0.0317047,0.00958106,0.0191812,45,32,14711,14635,4,18,2986765,5,538760
uniprot_r539166_c223,539166,20,0.3,1,1,4.27112,4.23655,2.414,0,0.38926,0.0345614,0.0117625,0.0196971,39,29,14718,14635,4,16,2987721,5,538936
uniprot_r539166_c223,539166,20,0.3,1,1,4.25046,4.21645,2.41049,0,0.384761,0.0340092,0.0097372,0.0212953,28,25,14713,14635,4,16,1916600,5,538608
uniprot_r539166_c223,539166,20,0.3,1,1,4.24199,4.21895,2.3948,0,0.390031,0.0230409,0.00959329,0.0111791,43,28,14663,14635,4,16,2186805,5,538748
