dataset,rows,cols,hyucc_t_total_ms,hyucc_memory,hyucc_ucc_count,hyucc_t_safepoint_ns
CE4HI01_r1678782_c65,1678782,65,34601,4367024,25,1038406227
CE4HI01_r1678782_c65,1678782,65,34185,4672752,25,801148715
CE4HI01_r1678782_c65,1678782,65,34520,4687868,25,831150318
CE4HI01_r1678782_c65,1678782,65,34291,4690496,25,809244041
CE4HI01_r1678782_c65,1678782,65,34089,4673732,25,836599149
Hospital_r114920_c15,114920,15,893,232384,12,8733203
Hospital_r114920_c15,114920,15,883,229512,12,9157283
Hospital_r114920_c15,114920,15,913,233700,12,8964174
Hospital_r114920_c15,114920,15,876,230588,12,8977328
Hospital_r114920_c15,114920,15,875,218964,12,8910740
ILOA_r20000000_c48,20000000,48,235787,21600880,1,18275550839
ILOA_r20000000_c48,20000000,48,235669,21401816,1,20947848192
ILOA_r20000000_c48,20000000,48,235403,21598884,1,18078022977
ILOA_r20000000_c48,20000000,48,236528,21611844,1,18047205099
ILOA_r20000000_c48,20000000,48,190076,18518500,1,17222306463
PDBX_POLY_SEQ_SCHEME_r17305799_c13,17305799,13,85151,11785540,5,11846310316
PDBX_POLY_SEQ_SCHEME_r17305799_c13,17305799,13,83533,11704940,5,9205133603
PDBX_POLY_SEQ_SCHEME_r17305799_c13,17305799,13,83815,10730216,5,9808405419
PDBX_POLY_SEQ_SCHEME_r17305799_c13,17305799,13,82711,11785120,5,9188574796
PDBX_POLY_SEQ_SCHEME_r17305799_c13,17305799,13,83109,11577336,5,9761386504
SG_BIOENTRY_DBXREF_ASSOC_r1854789_c3,1854789,3,2434,701884,2,61799649
SG_BIOENTRY_DBXREF_ASSOC_r1854789_c3,1854789,3,2443,701124,2,61697686
SG_BIOENTRY_DBXREF_ASSOC_r1854789_c3,1854789,3,2427,701280,2,61920216
SG_BIOENTRY_DBXREF_ASSOC_r1854789_c3,1854789,3,2422,735188,2,76807957
SG_BIOENTRY_DBXREF_ASSOC_r1854789_c3,1854789,3,2406,701016,2,62127410
SG_BIOENTRY_QUALIFIER_ASSOC_r1821546_c4,1821546,4,3701,796244,2,81038046
SG_BIOENTRY_QUALIFIER_ASSOC_r1821546_c4,1821546,4,3762,799312,2,81363581
SG_BIOENTRY_QUALIFIER_ASSOC_r1821546_c4,1821546,4,3643,797716,2,80658186
SG_BIOENTRY_QUALIFIER_ASSOC_r1821546_c4,1821546,4,3624,793196,2,80355772
SG_BIOENTRY_QUALIFIER_ASSOC_r1821546_c4,1821546,4,3711,797916,2,80393070
SG_BIOENTRY_REF_ASSOC_r358337_c5,358337,5,882,293572,1,22766230
SG_BIOENTRY_REF_ASSOC_r358337_c5,358337,5,847,282476,1,22722195
SG_BIOENTRY_REF_ASSOC_r358337_c5,358337,5,858,289924,1,22126180
SG_BIOENTRY_REF_ASSOC_r358337_c5,358337,5,869,301416,1,22458075
SG_BIOENTRY_REF_ASSOC_r358337_c5,358337,5,857,301316,1,22276733
SG_BIOENTRY_r184292_c9,184292,9,780,306056,3,40152416
SG_BIOENTRY_r184292_c9,184292,9,778,311180,3,40614725
SG_BIOENTRY_r184292_c9,184292,9,808,309456,3,40438943
SG_BIOENTRY_r184292_c9,184292,9,777,308448,3,40163213
SG_BIOENTRY_r184292_c9,184292,9,790,308072,3,40226053
SG_BIOSEQUENCE_r184292_c6,184292,6,1052,485260,1,49930182
SG_BIOSEQUENCE_r184292_c6,184292,6,1051,486400,1,50147594
SG_BIOSEQUENCE_r184292_c6,184292,6,1069,489820,1,49640217
SG_BIOSEQUENCE_r184292_c6,184292,6,1080,489880,1,50738947
SG_BIOSEQUENCE_r184292_c6,184292,6,1063,484904,1,49963824
SG_DBXREF_r618244_c4,618244,4,893,511756,2,84886738
SG_DBXREF_r618244_c4,618244,4,881,512852,2,85631338
SG_DBXREF_r618244_c4,618244,4,901,511684,2,86121995
SG_DBXREF_r618244_c4,618244,4,877,513628,2,87067113
