dataset,rows,cols,hyucc_t_total_ms,hyucc_memory,hyucc_ucc_count,hyucc_t_safepoint_ns
isolet_r7798_c618,7798,40,2230,1107500,9499,22263067
isolet_r7798_c618,7798,40,2203,1106956,9499,21985754
isolet_r7798_c618,7798,40,2213,1109016,9499,21433475
isolet_r7798_c618,7798,80,14110,2147276,77316,45176142
isolet_r7798_c618,7798,80,14343,2150584,77316,45431003
isolet_r7798_c618,7798,80,14213,2153636,77316,44921920
isolet_r7798_c618,7798,120,49855,3586604,266584,283412965
isolet_r7798_c618,7798,120,50100,3556796,266584,288495469
isolet_r7798_c618,7798,120,50392,3595948,266584,287624586
isolet_r7798_c618,7798,160,124353,3815652,643435,1334674122
isolet_r7798_c618,7798,160,124563,3808620,643435,1361826922
isolet_r7798_c618,7798,160,122192,3793156,643435,1355604746
isolet_r7798_c618,7798,200,245993,2200284,1282903,581115327
isolet_r7798_c618,7798,200,248672,2214304,1282903,572287690
isolet_r7798_c618,7798,200,250442,2237948,1282903,571254069
isolet_r7798_c618,7798,240,518294,3270504,2594776,2633150969
isolet_r7798_c618,7798,240,508725,3508484,2594776,2855747458
isolet_r7798_c618,7798,240,526059,3206468,2594776,2884549575
isolet_r7798_c618,7798,280,2084977,11992096,8994730,9128699816
isolet_r7798_c618,7798,280,2085085,12301856,8994730,9237275783
isolet_r7798_c618,7798,280,2102298,11158976,8994730,21643386417
uniprot_r539166_c223,539166,10,2097,701264,2,378864171
uniprot_r539166_c223,539166,10,2115,704188,2,365025362
uniprot_r539166_c223,539166,10,2077,702472,2,359709691
uniprot_r539166_c223,539166,10,2075,699604,2,363636575
uniprot_r539166_c223,539166,10,2139,702060,2,370501368
uniprot_r539166_c223,539166,15,3439,1121124,2,447558440
uniprot_r539166_c223,539166,15,3453,1122768,2,447557266
uniprot_r539166_c223,539166,15,3417,1117800,2,454524463
uniprot_r539166_c223,539166,15,3432,1117716,2,450828294
uniprot_r539166_c223,539166,15,3473,1116616,2,447997204
uniprot_r539166_c223,539166,20,4381,1272364,5,630552661
uniprot_r539166_c223,539166,20,4332,1277688,5,654762256
